Algo,Energy,Damp,y,γ,γfact,D,N,Assignments
rAP,0.5070050838045851,0.7,10.0,0.1,1.01,2,1000,0.835
AP,2.95646559411226,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,6.451097917617165,0.7,10.0,0.1,1.01,2,1000,1.0
AP,0.5018496890386107,0.7,-1.0,-1.0,-1.0,2,1000,0.877
rAP,0.9103129895444191,0.7,10.0,0.1,1.01,2,1000,0.987
AP,0.48966892839763465,0.7,-1.0,-1.0,-1.0,2,1000,0.92
rAP,0.48966892839763465,0.7,10.0,0.1,1.01,2,1000,0.92
AP,5.317946127918704,0.7,-1.0,-1.0,-1.0,2,1000,0.983
rAP,0.49431536972498885,0.7,10.0,0.1,1.01,2,1000,0.991
AP,0.5825261873501231,0.7,-1.0,-1.0,-1.0,2,1000,0.95
rAP,0.5024601902516783,0.7,10.0,0.1,1.01,2,1000,0.881
AP,0.4824680063364932,0.7,-1.0,-1.0,-1.0,2,1000,0.748
rAP,0.4824680063364932,0.7,10.0,0.1,1.01,2,1000,0.748
AP,5.603028992266624,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.47622175566601643,0.7,10.0,0.1,1.01,2,1000,0.865
AP,5.46664298349215,0.7,-1.0,-1.0,-1.0,2,1000,0.997
rAP,0.5121601219324293,0.7,10.0,0.1,1.01,2,1000,0.92
AP,3.416713134204751,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,4.256511238901867,0.7,10.0,0.1,1.01,2,1000,1.0
AP,3.7333153589556227,0.7,-1.0,-1.0,-1.0,2,1000,0.989
rAP,0.48876710107750043,0.7,10.0,0.1,1.01,2,1000,0.923
AP,0.7075298427027847,0.7,-1.0,-1.0,-1.0,2,1000,0.951
rAP,0.48324262351415415,0.7,10.0,0.1,1.01,2,1000,1.0
AP,0.7158918013031376,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.48424164361801575,0.7,10.0,0.1,1.01,2,1000,0.779
AP,4.02498813468707,0.7,-1.0,-1.0,-1.0,2,1000,0.998
rAP,0.4802897398038314,0.7,10.0,0.1,1.01,2,1000,0.773
AP,1.1741030196795395,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4782603897675733,0.7,10.0,0.1,1.01,2,1000,0.883
AP,3.487673463648469,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.48156722453306944,0.7,10.0,0.1,1.01,2,1000,0.873
AP,6.139730206328017,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4902081157970732,0.7,10.0,0.1,1.01,2,1000,0.789
AP,5.253540238216827,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.5112675839673767,0.7,10.0,0.1,1.01,2,1000,0.821
AP,2.2504149921311294,0.7,-1.0,-1.0,-1.0,2,1000,0.979
rAP,0.49006061980563903,0.7,10.0,0.1,1.01,2,1000,0.921
AP,1.6463261959088273,0.7,-1.0,-1.0,-1.0,2,1000,0.982
rAP,0.4851015405516396,0.7,10.0,0.1,1.01,2,1000,0.866
AP,4.660585463189101,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,4.133129416883208,0.7,10.0,0.1,1.01,2,1000,0.999
AP,2.1147785878665903,0.7,-1.0,-1.0,-1.0,2,1000,0.998
rAP,0.5115550054942921,0.7,10.0,0.1,1.01,2,1000,0.952
AP,0.49502788097887335,0.7,-1.0,-1.0,-1.0,2,1000,0.878
rAP,2.286698490721016,0.7,10.0,0.1,1.01,2,1000,0.999
AP,0.7643389430012724,0.7,-1.0,-1.0,-1.0,2,1000,0.929
rAP,0.4778439035132043,0.7,10.0,0.1,1.01,2,1000,0.62
AP,0.4830729623291399,0.7,-1.0,-1.0,-1.0,2,1000,0.89
rAP,0.4830729623291399,0.7,10.0,0.1,1.01,2,1000,0.89
AP,0.712479933110562,0.7,-1.0,-1.0,-1.0,2,1000,0.969
rAP,0.48880048620816946,0.7,10.0,0.1,1.01,2,1000,0.859
AP,3.9276835925130205,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.48445979126942496,0.7,10.0,0.1,1.01,2,1000,0.751
AP,0.726126446171794,0.7,-1.0,-1.0,-1.0,2,1000,0.958
rAP,0.48146120793290204,0.7,10.0,0.1,1.01,2,1000,0.997
AP,0.48696770271615875,0.7,-1.0,-1.0,-1.0,2,1000,0.83
rAP,1.028421734263251,0.7,10.0,0.1,1.01,2,1000,0.986
AP,3.454649570568181,0.7,-1.0,-1.0,-1.0,2,1000,0.957
rAP,2.3929155470755945,0.7,10.0,0.1,1.01,2,1000,0.998
AP,2.5766537075367406,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.49703696983818935,0.7,10.0,0.1,1.01,2,1000,0.903
AP,4.355902000583177,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,5.1852430660699955,0.7,10.0,0.1,1.01,2,1000,0.999
AP,3.8146249118922073,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,4.917344186459001,0.7,10.0,0.1,1.01,2,1000,0.999
AP,0.8711259746622222,0.7,-1.0,-1.0,-1.0,2,1000,0.765
rAP,3.407935050379538,0.7,10.0,0.1,1.01,2,1000,0.993
AP,0.7137391190529988,0.7,-1.0,-1.0,-1.0,2,1000,0.758
rAP,0.5008042086204461,0.7,10.0,0.1,1.01,2,1000,0.883
AP,6.275760553567585,0.7,-1.0,-1.0,-1.0,2,1000,0.996
